Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust
1,0,0,0.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,0.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,1.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,2.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,0,3.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,9.69897039167947,3.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,25.1668466277442,4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,30.098737006604,4.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,33.0000529718712,4.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,37.6540820873195,4.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,40.3778037965887,4.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,43.1268192754309,4.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,35.0923181872858,4.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,45.4984905083996,4.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,47.0131074065094,4.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,47.3991128415003,4.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,49.5328095630764,5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0,50.4285464696899,5.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0.2712674,50.7102639832233,5.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,0.2712674,50.7309404029865,5.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,1.537182,51.8270143304334,5.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,1.537182,54.1435272850569,5.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,1.537182,54.5182551332273,5.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,1.537182,54.6587812427201,5.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,3.345631,54.7805620938037,5.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,5.244502,54.5744655770244,5.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,5.244502,54.5744655770244,6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.419994,54.9117155740918,6.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.872107,54.7899347230082,6.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.510417,55.0241491274011,6.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.510417,54.7993073522128,6.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.510417,54.8555177960099,6.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.781684,54.7337242792111,6.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.052951,54.892995647113,6.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.510417,55.2558869564017,6.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.143374,55.0335090908906,6.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.143374,55.0241491274011,7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.409288,55.0616143127891,7.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.409288,54.986671276298,7.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,10.21774,55.1664673152923,7.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,10.30816,55.0709869419937,7.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.409288,54.8836103521933,7.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.409288,54.9585660543995,7.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.042245,54.892995647113,7.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.042245,54.5838255405139,7.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.042245,55.1962738623288,7.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.143374,55.1366607682558,8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.143374,55.0241491274011,8.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.324219,54.9679260178889,8.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.499711,54.986671276298,8.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.0897195346876,8.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,54.7899347230082,8.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.0709869419937,8.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.0428817200951,8.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,54.9117155740918,8.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,5.425347,54.8086673157022,8.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,5.425347,55.005403868992,9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,4.340278,55.4247862454673,9.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,3.888165,55.1962738623288,9.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,5.425347,55.2161538486352,9.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,6.691262,54.7805620938037,9.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.951823,55.0241491274011,9.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,55.1764073084455,9.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,55.4744727788103,9.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.324219,55.0709869419937,9.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.3055734897446,9.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.324219,54.7993073522128,10,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,55.1764073084455,10.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,54.8180399449068,10.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.233796,54.7243516500066,10.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.233796,55.3552465906644,10.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.324219,55.0616143127891,10.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,7.324219,55.4247862454673,10.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.0709869419937,10.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,8.590133,55.1764073084455,10.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,54.9210882032964,10.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,12.29745,55.0709869419937,11,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.75492,54.9304608325009,11.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.75492,55.2161538486352,11.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,55.146600761409,11.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,55.146600761409,11.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,54.7524568719051,11.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,54.9210882032964,11.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,10.489,55.3552465906644,11.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,15.46224,55.583758973803,11.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,55.2459603956717,11.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,55.3055734897446,12,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,10.489,55.6234920815695,12.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,11.6645,55.0803595711982,12.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,12.29745,55.2757669427081,12.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,54.8555177960099,12.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
1,9.22309,54.8648904252144,12.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust"
