ID,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity Allen,Diff. Electronegativity Pauling,Diff. Shear modulus,Avg shear modulus,Mixing Entropy,Valence electron,YS (MPa)
124,Hf0.5Mo0.5NbSi0.5TiZr,0.723749632,412.4081227,-24.05867931,3.415599177,1728.56128,0.091356478,1380.960602,2302.97697,0.1957517,0.250961774,0.558538777,56.18399,14.42658294,4.4444,1605
125,Hf0.5Mo0.5NbSi0.7TiZr,0.820125678,423.7480327,-30.81230497,3.501429602,1463.263017,0.099666022,1074.034725,2276.80517,0.219862342,0.232434007,0.533329264,54.829201,14.53505374,4.42557,1604
126,Hf0.5Mo0.5NbSi0.9TiZr,0.903492673,432.6295803,-36.40240473,3.580105395,1277.80689,0.106710772,900.4376929,2252.69289,0.239965869,0.306950729,0.61625164,60.925,14.55062848,4.40812,1677
127,Hf0.5Mo0.5NbTiZrCr0.1,0.140446965,365.8680191,-0.945263664,3.15750501,2870.801038,0.068838903,34182.16617,2375.0982,0.098242249,0.112889326,0.118646922,42.3,13.6041363,4.53654,1183
128,Hf0.5Mo0.5NbTiZrCr0.3,0.143778105,359.1349622,-2.184656565,3.146054244,2732.811133,0.071998595,15342.70891,2366.0698,0.112705727,0.144996552,0.511952907,57.88,14.16634021,4.6047,1201
129,HfNbSi0.5TiV,0.787609301,357.5885011,-22.17209976,3.376199571,1435.705871,0.095689077,1346.995458,2271.86617,0.221035286,0.2198454,0.523315112,66.16,13.14589657,4.4444,1399
130,HfNbSi0.5TiVZr,0.706646859,328.0001534,-20.04033468,3.350042591,1526.835707,0.098114617,1647.085415,2245.74973,0.203146854,0.117881296,0.535188995,56.02,14.69805051,4.36368,1540
131,HfNbTiVZr,0.130576666,288.8173125,0.16176,3.14192,2679.136952,0.070673524,190400.0785,2301.6,0.12116105,0.261689224,0.524893481,52.225,13.38161136,4.4,1170
132,CoCrCuFeMnNiTiV,1.965208683,271.7683817,-7.991,3.789475,5710.775418,0.055022828,3918.242635,1810.97125,0.16583124,0.26151011,0.514350824,52.41411,17.28943896,7.5,1312
133,Cu30Mn30Ni30Al10,2.4229646,245.8312557,-9.00348,5.22037,4400.779762,0.049822157,1789.332041,1474.778,0.095580176,0.272545557,0.491347348,53.383145,10.92382396,8.7,515
134,Cu30Mn30Ni30Sn11,2.382608403,351.2798195,-5.218183404,5.40288868,1301.729694,0.083121407,2452.222304,1422.763096,0.052470641,0.275725219,0.484788199,53.652512,8.993869581,8.75248,630
135,AlCrFeNiMo0.5,0.462467506,577.5758113,-19.1280125,3.31630017,3518.865384,0.061121468,1237.125404,1800.086443,0.132282518,0.176067288,0.154915574,47.955076,13.14589657,6.6666,1914.1
136,AlCrFeNiMo0.5Ti0.25,0.45747902,563.0531206,-21.60905465,3.297129324,3326.9501,0.065258616,1185.147236,1807.532299,0.147932618,0.181646281,0.181901171,45.600456,14.16843915,6.52639,2161.7
137,AlCrFeNiMo0.5Ti0.4,0.454350001,554.8427556,-22.80918408,3.286461684,3201.931797,0.067116625,1145.570769,1811.587748,0.15507494,0.138130373,0.16854034,44.16,14.42355446,6.44892,2185.1
138,AlCrFeNiMo0.5Ti0.5,0.452234249,549.5671738,-23.50956,3.27978,3128.698027,0.068157609,1121.583396,1814.194,0.159144086,0.148639665,0.312225886,71.8125,14.53424062,6.4,2228.7
139,AlCrFeNiMo0.5Ti0.6,0.450097806,544.4387452,-24.13805971,3.2733615,3063.15933,0.069064592,1099.666683,1816.698808,0.16275038,0.156584642,0.262222758,61.725,14.6110186,6.353,1314.5
140,AlCrFeNiMo0.5Ti0.75,0.446866035,537.0074375,-24.96003692,3.264179568,2977.573483,0.070210466,1070.425622,1820.268786,0.167423718,0.159371281,0.253409823,62.962667,14.67797682,6.28584,618.8
141,HfMo0.5NbTaTiZr,0.123955072,466.7310761,0.61111966,3.191741008,4881.988193,0.054869564,61496.8839,2556.93466,0.093065803,0.177180699,0.315596125,63.79,14.69805051,4.5455,1317
142,HfMo0.75NbTaTiZr,0.121571142,461.6735802,-0.160890583,3.189701529,4648.087565,0.0565336,237443.543,2571.59993,0.095064344,0.166991298,0.325696287,62.524797,14.85551058,4.6086,1373
143,HfMoNbZrTi,0.118332792,361.8421755,-1.51088,3.16532,3599.460392,0.060972711,21647.87044,2444.2,0.105716602,0.184601571,0.289748675,65.873477,13.38161136,4.6,1803
144,Mo1.7NbTiVZr,0.11991157,388.8675716,-3.229448011,3.133908558,2961.038359,0.066654219,9951.810987,2443.04288,0.069704865,0.167743303,0.265820339,65.399745,13.15525669,4.94742,1645
145,Mo2NbTiVZr,0.116911023,391.66751,-3.416813995,3.134564554,2995.577677,0.065817198,9364.314041,2465.68702,0.068557115,0.172224945,0.423258379,80.288086,12.97655339,5.00004,1765
146,MoNbTiV1.0Zr,0.127922627,373.6814686,-2.50928,3.13204,2849.013587,0.068534137,12690.0475,2379.6,0.072498276,0.177238667,0.432964498,78.463789,13.38161136,4.8,1786
147,MoNbTiV1.5Zr,0.126785003,360.7826719,-2.490562207,3.122794864,2621.017498,0.071113132,12569.1593,2361.75089,0.078145202,0.179503819,0.4379596,77.456432,13.25468883,4.81823,1735
148,MoNbTiV2.0Zr,0.127344169,349.0262531,-2.442944585,3.115065334,2257.604417,0.075815108,12466.15828,2346.85844,0.084999581,0.180765041,0.440994709,76.82,12.97655339,4.83338,1538
149,MoNbTiV3.0Zr,0.130937668,328.4482791,-2.309362478,3.102917472,1634.192554,0.086631203,12339.39158,2323.45321,0.098664143,0.181852526,0.443809548,76.208544,12.26455854,4.85719,1418
150,MoNbTiZr,0.131154289,403.0740472,-2.345,3.15755,3214.581093,0.059880115,11937.94595,2428.75,0.054083269,0.183198441,0.447650527,75.33484,11.52629264,4.75,1592
151,Nb5V20Cr60W5Ta5Al5,0.341556769,481.2808549,-6.99798,3.087035,3422.758125,0.054606575,3121.018996,2139.947,0.087492057,0.161321883,0.39585652,93.195,10.2062474,5.4,1474
152,Nb10V25Cr50W5Ta5Al5,0.339579884,499.3505038,-7.81643,3.112555,3571.981412,0.056527617,3166.656532,2168.597,0.094570926,0.162385344,0.454260259,85.875,11.41380769,5.3,1401
153,Mo5V25Cr55W5Ta5Al5,0.641093159,794.2092525,-6.05795,3.085365,1708.264308,0.073988864,3314.930621,2147.397,0.082491878,0.404477441,0.395380595,94.17,9.351640128,5.4,1511
154,Mo10V35Cr40W5Ta5Al5,0.485698717,701.297822,-6.06813,3.109215,3148.105965,0.055903938,3540.233164,2183.497,0.087337635,0.314452302,0.420879999,87.825,9.838618999,5.3,1471
155,Mo15V40Cr30W5Ta5Al5,0.397507014,663.1569939,-5.88825,3.127065,4417.649215,0.047067621,3688.877783,2219.447,0.090497638,0.271412969,0.429969305,84.91,9.786687678,5.25,1470
156,Mo20Nb10V30Cr25W5Ta5Al5,0.381830428,651.7563095,-6.95896,3.165955,4305.254964,0.051762586,3832.342648,2311.947,0.092817132,0.262239871,0.442242299,84.505,11.53535059,5.25,1458
157,Mo20Nb40Cr25W5Ta5Al5,0.330361243,761.4536442,-10.29508,3.247075,3007.282189,0.056691388,2330.17554,2482.047,0.12716218,0.270506469,0.472664549,81.745,9.665144776,5.25,1403
158,Mo40Nb35Cr10W5Ta5Al5,0.283131031,665.5722921,-9.50426,3.274955,4601.221994,0.043497618,2378.567409,2596.747,0.098906939,0.3258861,0.546635441,87.695,8.705708752,5.3,1525
159,Mo50Nb10V20Cr5W5Ta5Al5,0.293010021,628.2620713,-6.23638,3.225055,7517.132432,0.035684847,3877.907986,2526.447,0.071267524,0.378225792,0.778620893,94.455,9.57237884,5.35,1658
160,Mo55Nb5V5Cr20W5Ta5Al5,0.392822899,676.7315009,-5.43153,3.199385,2482.934237,0.059881525,4152.549798,2533.297,0.095264172,0.327459921,0.70268277,109.15,8.903298272,5.55,1748
